episode_id,player,agent,step,day,hour,order_i,op,item,qty,price,revenue,money,market_inv
90444865,0,Mohit Rao,1,0,1,0,HIRE,,1,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,1,HIRE,,1,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,2,HIRE,,1,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,3,HIRE,,1,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,4,HIRE,,1,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,5,BUY_ANIMAL,SHEEP,2,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,6,BUY_ANIMAL,COW,2,0.0,0.0,158.0,
90444865,0,Mohit Rao,1,0,1,7,BUY_SEED,WHEAT,7,26.0,0.0,158.0,9999
90444865,0,Mohit Rao,1,0,1,8,BUY_SEED,MELON,12,256.0,0.0,158.0,9999
90444865,0,Mohit Rao,2,0,2,0,BUY_PRODUCT,WHEAT,2,27.0,0.0,105.0,9995
90444865,0,Mohit Rao,25,1,1,0,BUY_PRODUCT,WHEAT,3,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,26,1,2,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,27,1,3,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,28,1,4,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,29,1,5,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,30,1,6,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,31,1,7,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,32,1,8,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,33,1,9,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,34,1,10,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,35,1,11,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,36,1,12,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9987
90444865,0,Mohit Rao,37,1,13,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9986
90444865,0,Mohit Rao,38,1,14,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9986
90444865,0,Mohit Rao,39,1,15,0,BUY_PRODUCT,WHEAT,2,29.0,0.0,21.0,9986
90444865,0,Mohit Rao,40,1,16,0,SELL,FERTILIZER,2,99.0,198.0,163.0,10004
90444865,0,Mohit Rao,40,1,16,1,BUY_PRODUCT,WHEAT,2,29.0,0.0,163.0,9982
90444865,0,Mohit Rao,41,1,17,0,BUY_PRODUCT,WHEAT,3,30.0,0.0,74.0,9976
90444865,0,Mohit Rao,42,1,18,0,BUY_PRODUCT,WHEAT,3,30.0,0.0,14.0,9972
90444865,0,Mohit Rao,43,1,19,0,BUY_PRODUCT,WHEAT,2,30.0,0.0,14.0,9972
90444865,0,Mohit Rao,44,1,20,0,BUY_PRODUCT,WHEAT,2,30.0,0.0,14.0,9972
90444865,0,Mohit Rao,49,2,1,0,SELL,FERTILIZER,2,98.0,196.0,113.0,10008
90444865,0,Mohit Rao,49,2,1,1,HIRE,,1,0.0,0.0,113.0,
90444865,0,Mohit Rao,49,2,1,2,HIRE,,1,0.0,0.0,113.0,
90444865,0,Mohit Rao,49,2,1,3,HIRE,,1,0.0,0.0,113.0,
90444865,0,Mohit Rao,49,2,1,4,HIRE,,1,0.0,0.0,113.0,
90444865,0,Mohit Rao,49,2,1,5,BUY_PRODUCT,WHEAT,3,31.0,0.0,113.0,9965
90444865,0,Mohit Rao,52,2,4,0,SELL,WHEAT,1,31.0,31.0,144.0,9966
90444865,0,Mohit Rao,55,2,7,0,SELL,WHEAT,1,31.0,31.0,175.0,9967
90444865,0,Mohit Rao,73,3,1,0,SELL,FERTILIZER,4,97.0,388.0,30.0,10016
90444865,0,Mohit Rao,73,3,1,1,HIRE,,1,0.0,0.0,30.0,
90444865,0,Mohit Rao,73,3,1,2,HIRE,,1,0.0,0.0,30.0,
90444865,0,Mohit Rao,73,3,1,3,HIRE,,1,0.0,0.0,30.0,
90444865,0,Mohit Rao,73,3,1,4,HIRE,,1,0.0,0.0,30.0,
90444865,0,Mohit Rao,73,3,1,5,HIRE,,1,0.0,0.0,30.0,
90444865,0,Mohit Rao,73,3,1,6,BUY_PRODUCT,WHEAT,4,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,73,3,1,7,BUY_ANIMAL,COW,1,0.0,0.0,30.0,
90444865,0,Mohit Rao,75,3,3,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,78,3,6,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,79,3,7,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,80,3,8,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,81,3,9,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,82,3,10,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,83,3,11,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,84,3,12,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9959
90444865,0,Mohit Rao,85,3,13,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,86,3,14,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,87,3,15,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,88,3,16,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,89,3,17,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,90,3,18,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,91,3,19,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,92,3,20,0,BUY_PRODUCT,WHEAT,2,31.0,0.0,30.0,9958
90444865,0,Mohit Rao,97,4,1,0,SELL,FERTILIZER,4,95.0,380.0,141.0,10024
90444865,0,Mohit Rao,97,4,1,1,HIRE,,1,0.0,0.0,141.0,
90444865,0,Mohit Rao,97,4,1,2,HIRE,,1,0.0,0.0,141.0,
90444865,0,Mohit Rao,97,4,1,3,HIRE,,1,0.0,0.0,141.0,
90444865,0,Mohit Rao,97,4,1,4,HIRE,,1,0.0,0.0,141.0,
90444865,0,Mohit Rao,97,4,1,5,HIRE,,1,0.0,0.0,141.0,
90444865,0,Mohit Rao,97,4,1,6,BUY_PRODUCT,WHEAT,1,32.0,0.0,141.0,9946
90444865,0,Mohit Rao,97,4,1,7,BUY_PRODUCT,WHEAT,5,32.0,0.0,141.0,9946
90444865,0,Mohit Rao,97,4,1,8,BUY_SEED,WHEAT,7,32.0,0.0,141.0,9946
90444865,0,Mohit Rao,99,4,3,0,BUY_PRODUCT,WHEAT,1,32.0,0.0,109.0,9944
90444865,0,Mohit Rao,101,4,5,0,BUY_PRODUCT,WHEAT,1,33.0,0.0,76.0,9942
90444865,0,Mohit Rao,104,4,8,0,SELL,WHEAT,1,33.0,33.0,109.0,9942
90444865,0,Mohit Rao,105,4,9,0,SELL,WHEAT,1,33.0,33.0,77.0,9942
90444865,0,Mohit Rao,105,4,9,1,BUY_PRODUCT,WHEAT,2,33.0,0.0,77.0,9942
90444865,0,Mohit Rao,106,4,10,0,BUY_PRODUCT,WHEAT,3,33.0,0.0,11.0,9937
90444865,0,Mohit Rao,119,4,23,0,SELL,WHEAT,3,33.0,99.0,300.0,9942
90444865,0,Mohit Rao,119,4,23,1,SELL,FERTILIZER,2,94.0,188.0,300.0,10028
90444865,0,Mohit Rao,121,5,1,0,SELL,WHEAT,25,28.0,700.0,946.0,9991
90444865,0,Mohit Rao,121,5,1,1,SELL,FERTILIZER,3,93.0,279.0,946.0,10034
90444865,0,Mohit Rao,121,5,1,2,HIRE,,1,0.0,0.0,946.0,
90444865,0,Mohit Rao,121,5,1,3,BUY_ANIMAL,COW,1,0.0,0.0,946.0,
90444865,0,Mohit Rao,145,6,1,0,SELL,FERTILIZER,5,91.0,455.0,1197.0,10044
90444865,0,Mohit Rao,145,6,1,1,HIRE,,1,0.0,0.0,1197.0,
90444865,0,Mohit Rao,145,6,1,2,HIRE,,1,0.0,0.0,1197.0,
90444865,0,Mohit Rao,145,6,1,3,HIRE,,1,0.0,0.0,1197.0,
90444865,0,Mohit Rao,145,6,1,4,HIRE,,1,0.0,0.0,1197.0,
90444865,0,Mohit Rao,145,6,1,5,BUY_PRODUCT,WHEAT,1,30.0,0.0,1197.0,9974
90444865,0,Mohit Rao,145,6,1,6,BUY_PRODUCT,WHEAT,6,30.0,0.0,1197.0,9974
90444865,0,Mohit Rao,147,6,3,0,BUY_PRODUCT,WHEAT,1,30.0,0.0,1167.0,9972
90444865,0,Mohit Rao,149,6,5,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,1137.0,9969
90444865,0,Mohit Rao,150,6,6,0,BUY_PRODUCT,WHEAT,1,31.0,0.0,1106.0,9967
90444865,0,Mohit Rao,152,6,8,0,SELL,WHEAT,1,31.0,31.0,1137.0,9968
90444865,0,Mohit Rao,153,6,9,0,SELL,WHEAT,1,31.0,31.0,1168.0,9968
90444865,0,Mohit Rao,156,6,12,0,SELL,WHEAT,1,31.0,31.0,1107.0,9966
90444865,0,Mohit Rao,156,6,12,1,BUY_PRODUCT,WHEAT,3,31.0,0.0,1107.0,9966
90444865,0,Mohit Rao,157,6,13,0,BUY_PRODUCT,WHEAT,3,31.0,0.0,1014.0,9958
90444865,0,Mohit Rao,169,7,1,0,SELL,WOOL,12,232.0,2784.0,1497.0,9959
90444865,0,Mohit Rao,169,7,1,1,SELL,FERTILIZER,5,89.0,445.0,1497.0,10054
90444865,0,Mohit Rao,169,7,1,2,SELL,WHEAT,1,32.0,32.0,1497.0,9956
90444865,0,Mohit Rao,169,7,1,3,HIRE,,1,0.0,0.0,1497.0,
90444865,0,Mohit Rao,169,7,1,4,HIRE,,1,0.0,0.0,1497.0,
90444865,0,Mohit Rao,169,7,1,5,HIRE,,1,0.0,0.0,1497.0,
90444865,0,Mohit Rao,169,7,1,6,HIRE,,1,0.0,0.0,1497.0,
90444865,0,Mohit Rao,169,7,1,7,BUY_LAND,,1,0.0,0.0,1497.0,
90444865,0,Mohit Rao,169,7,1,8,BUY_ANIMAL,SHEEP,2,0.0,0.0,1497.0,
90444865,0,Mohit Rao,169,7,1,9,BUY_ANIMAL,COW,2,0.0,0.0,1497.0,
90444865,0,Mohit Rao,170,7,2,0,HIRE,,1,0.0,0.0,493.0,
90444865,0,Mohit Rao,170,7,2,1,HIRE,,1,0.0,0.0,493.0,
90444865,0,Mohit Rao,170,7,2,2,BUY_PRODUCT,WHEAT,9,33.0,0.0,493.0,9938
90444865,0,Mohit Rao,170,7,2,3,BUY_SEED,STRAWBERRY,7,153.0,0.0,493.0,9985
90444865,0,Mohit Rao,171,7,3,0,BUY_PRODUCT,WHEAT,1,33.0,0.0,460.0,9936
90444865,0,Mohit Rao,174,7,6,0,BUY_PRODUCT,WHEAT,1,33.0,0.0,427.0,9933
90444865,0,Mohit Rao,177,7,9,0,SELL,WHEAT,2,33.0,66.0,493.0,9934
90444865,0,Mohit Rao,181,7,13,0,SELL,WHEAT,1,33.0,33.0,526.0,9933
90444865,0,Mohit Rao,182,7,14,0,SELL,WHEAT,1,33.0,33.0,559.0,9934
90444865,0,Mohit Rao,184,7,16,0,SELL,WHEAT,1,33.0,33.0,592.0,9935
